ID,SMILES,Status
rad_0149,C=C1[CH]C=C1C,Pending
rad_0150,C=C(C)[C]1C=C1,Pending
rad_0151,[CH]=C(C)C1C=C1,Pending
rad_0152,C=C(C)C1[C]=C1,Pending
rad_0153,[CH2]C(=C)C1C=C1,Pending
rad_0154,[CH]=C(C)C1=CC1,Pending
rad_0155,[CH2]C(=C)C1=CC1,Pending
rad_0156,C=C(C)C1=[C]C1,Pending
rad_0157,C=C(C)C1=C[CH]1,Pending
rad_0158,[CH]=C1CC(=C)C1,Pending
rad_0159,C=C1[CH]C(=C)C1,Pending
rad_0160,CC[C]=CCC,Pending
rad_0161,C[CH]C=CCC,Pending
rad_0162,[CH2]CC=CCC,Pending
rad_0163,CC1=CC[CH]C1,Pending
rad_0164,CC1=CCC[CH]1,Pending
rad_0165,CC1=[C]CCC1,Pending
rad_0166,CC1=C[CH]CC1,Pending
rad_0167,[CH2]C1=CCCC1,Pending
rad_0168,[CH2]C1=C(CC)C1,Pending
rad_0169,CCC1=C(C)[CH]1,Pending
rad_0170,C[CH]C1=C(C)C1,Pending
rad_0171,[CH2]CC1=C(C)C1,Pending
rad_0172,[CH]=C1C(=C)C1C,Pending
rad_0173,C=C1[C](C)C1=C,Pending
rad_0174,[CH2]C1C(=C)C1=C,Pending
rad_0175,C=C1[C]=CCC1,Pending
rad_0176,[CH]=C1C=CCC1,Pending
rad_0177,C=C1[CH]CC=C1,Pending
rad_0178,C=C1C=[C]CC1,Pending
rad_0179,C=C1C=C[CH]C1,Pending
rad_0180,C=C1[CH]C=CC1,Pending
rad_0181,C=C1C[C]=CC1,Pending
rad_0182,[CH]=C1CC=CC1,Pending
rad_0183,C=CC1(C)[C]=C1,Pending
rad_0184,C=[C]C1(C)C=C1,Pending
rad_0185,[CH]=CC1(C)C=C1,Pending
rad_0186,[CH2]C1(C=C)C=C1,Pending
rad_0187,C=C1[C](C)C1C,Pending
rad_0188,[CH]=C1C(C)C1C,Pending
rad_0189,[CH2]C1C(=C)C1C,Pending
rad_0190,CC[CH]C1=CC1,Pending
rad_0191,CCCC1=[C]C1,Pending
rad_0192,C[CH]CC1=CC1,Pending
rad_0193,CCCC1=C[CH]1,Pending
rad_0194,[CH2]CCC1=CC1,Pending
rad_0195,C=[C]CC=CC,Pending
rad_0196,C=C[CH]C=CC,Pending
rad_0197,C=CC[C]=CC,Pending
rad_0198,C=CCC=[C]C,Pending
rad_0199,[CH2]C=CCC=C,Pending
rad_0200,[CH]=CCC=CC,Pending
rad_0201,C=C[CH]CC=C,Pending
rad_0202,C=[C]CCC=C,Pending
rad_0203,[CH]=CCCC=C,Pending
rad_0204,C[C]1C=CC1C,Pending
rad_0205,CC1[C]=CC1C,Pending
rad_0206,[CH2]C1C=CC1C,Pending
rad_0207,CCC=C1[C]=C1,Pending
rad_0208,CC[C]=C1C=C1,Pending
rad_0209,C[CH]C=C1C=C1,Pending
rad_0210,[CH2]CC=C1C=C1,Pending
rad_0211,C[C]=C1C=C1C,Pending
rad_0212,[CH2]C=C1C=C1C,Pending
rad_0213,CC=C1[C]=C1C,Pending
rad_0214,[CH2]C1=CC1=CC,Pending
rad_0215,C=[C]C1CC1C,Pending
rad_0216,[CH]=CC1CC1C,Pending
rad_0217,C=C[C]1CC1C,Pending
rad_0218,C=CC1C[C]1C,Pending
rad_0219,C=CC1[CH]C1C,Pending
rad_0220,[CH2]C1CC1C=C,Pending
rad_0221,[CH]=C1CCC1=C,Pending
rad_0222,C=C1[CH]CC1=C,Pending
rad_0223,[CH2]C(C)CC=C,Pending
rad_0224,C=CC[C](C)C,Pending
rad_0225,C=C[CH]C(C)C,Pending
rad_0226,C=[C]CC(C)C,Pending
rad_0227,[CH]=CCC(C)C,Pending
rad_0228,C[CH]C1=CCC1,Pending
rad_0229,CCC1=CC[CH]1,Pending
rad_0230,CCC1=C[CH]C1,Pending
rad_0231,[CH2]CC1=CCC1,Pending
rad_0232,CCC1=[C]CC1,Pending
rad_0233,[CH2]C1=CC(C)=C1,Pending
rad_0234,CC1=[C]C(C)=C1,Pending
rad_0235,[CH2]C1=C(C=C)C1,Pending
rad_0236,C=[C]C1=C(C)C1,Pending
rad_0237,C=CC1=C(C)[CH]1,Pending
rad_0238,[CH]=CC1=C(C)C1,Pending
rad_0239,C=C1[CH]C1=CC,Pending
rad_0240,C=C1CC1=[C]C,Pending
rad_0241,[CH]=C1CC1=CC,Pending
rad_0242,[CH2]C=C1CC1=C,Pending
rad_0243,C=C1CC[C]1C,Pending
rad_0244,C=C1C[CH]C1C,Pending
rad_0245,C=C1[CH]CC1C,Pending
rad_0246,[CH2]C1CCC1=C,Pending
rad_0247,[CH]=C1CCC1C,Pending
rad_0248,CC1[CH]C=CC1,Pending
rad_0249,CC1C[C]=CC1,Pending
rad_0250,C[C]1CC=CC1,Pending
rad_0251,[CH2]C1CC=CC1,Pending
rad_0252,C=C[C]1CC1=C,Pending
rad_0253,C=CC1[CH]C1=C,Pending
rad_0254,C=[C]C1CC1=C,Pending
rad_0255,[CH]=CC1CC1=C,Pending
rad_0256,[CH]=C1CC1C=C,Pending
rad_0257,[CH2]C(=C)C1CC1,Pending
rad_0258,[CH]=C(C)C1CC1,Pending
rad_0259,C=C(C)[C]1CC1,Pending
rad_0260,C=C(C)C1[CH]C1,Pending
rad_0261,[CH2]C1=CC=CC1,Pending
rad_0262,CC1=CC=C[CH]1,Pending
rad_0263,CC1=[C]C=CC1,Pending
rad_0264,CC1=C[C]=CC1,Pending
rad_0265,CC1=CC=[C]C1,Pending
rad_0266,[CH2]C1=C(C)C=C1,Pending
rad_0267,CC1=C(C)C=[C]1,Pending
rad_0268,CC1C=C[CH]C1,Pending
rad_0269,CC1[CH]CC=C1,Pending
rad_0270,CC1C=[C]CC1,Pending
rad_0271,C[C]1C=CCC1,Pending
rad_0272,CC1[C]=CCC1,Pending
rad_0273,[CH2]C1C=CCC1,Pending
