ID,SMILES,Status
rad_0197,[CH2]C1CCCCC1,Pending
rad_0198,CC[C]1CC1(C)C,Pending
rad_0199,C[CH]C1CC1(C)C,Pending
rad_0200,CCC1[CH]C1(C)C,Pending
rad_0201,[CH2]C1(C)CC1CC,Pending
rad_0202,[CH2]CC1CC1(C)C,Pending
rad_0203,CC[C]1CC1CC,Pending
rad_0204,C[CH]C1CC1CC,Pending
rad_0205,[CH2]CC1CC1CC,Pending
rad_0206,CCC1[CH]C1CC,Pending
rad_0207,CC[C](C)C1CC1,Pending
rad_0208,CCC(C)[C]1CC1,Pending
rad_0209,CCC(C)C1[CH]C1,Pending
rad_0210,[CH2]C(CC)C1CC1,Pending
rad_0211,C[CH]C(C)C1CC1,Pending
rad_0212,[CH2]CC(C)C1CC1,Pending
rad_0213,C[C](C)C1CCC1,Pending
rad_0214,[CH2]C(C)C1CCC1,Pending
rad_0215,CC(C)[C]1CCC1,Pending
rad_0216,CC(C)C1[CH]CC1,Pending
rad_0217,CC(C)C1C[CH]C1,Pending
rad_0218,CC[C]1CCCC1,Pending
rad_0219,CCC1[CH]CCC1,Pending
rad_0220,CCC1C[CH]CC1,Pending
rad_0221,C[CH]C1CCCC1,Pending
rad_0222,[CH2]CC1CCCC1,Pending
rad_0223,CC1C[CH]CC1,Pending
rad_0224,CC1[CH]CCC1,Pending
rad_0225,C[C]1CCCC1,Pending
rad_0226,[CH2]C1CCCC1,Pending
rad_0227,CC1[CH]CC(C)C1,Pending
rad_0228,C[C]1CCC(C)C1,Pending
rad_0229,CC1[CH]C(C)CC1,Pending
rad_0230,[CH2]C1CCC(C)C1,Pending
rad_0231,[CH2]C1C(C)C1C,Pending
rad_0232,C[C]1C(C)C1C,Pending
rad_0233,CC[CH]C1(C)CC1,Pending
rad_0234,CCCC1(C)[CH]C1,Pending
rad_0235,[CH2]C1(CCC)CC1,Pending
rad_0236,C[CH]CC1(C)CC1,Pending
rad_0237,[CH2]CCC1(C)CC1,Pending
rad_0238,CC1(C)[CH]C1(C)C,Pending
rad_0239,[CH2]C1(C)CC1(C)C,Pending
rad_0240,[CH]1CCCCCC1,Pending
rad_0241,[CH2]C1(C)C(C)C1C,Pending
rad_0242,C[C]1C(C)C1(C)C,Pending
rad_0243,[CH2]C1C(C)C1(C)C,Pending
rad_0244,[CH]1CCCCC1,Pending
rad_0245,CCC1[C](C)C1C,Pending
rad_0246,[CH2]C1C(C)C1CC,Pending
rad_0247,CC[C]1C(C)C1C,Pending
rad_0248,C[CH]C1C(C)C1C,Pending
rad_0249,[CH2]CC1C(C)C1C,Pending
rad_0250,CC1[CH]C(C)(C)C1,Pending
rad_0251,C[C]1CC(C)(C)C1,Pending
rad_0252,[CH2]C1(C)CC(C)C1,Pending
rad_0253,[CH2]C1CC(C)(C)C1,Pending
rad_0254,[CH2]C(C)(C)C1CC1,Pending
rad_0255,CC(C)(C)[C]1CC1,Pending
rad_0256,CC(C)(C)C1[CH]C1,Pending
rad_0257,CCC[CH]C1CC1,Pending
rad_0258,CCCC[C]1CC1,Pending
rad_0259,CC[CH]CC1CC1,Pending
rad_0260,CCCCC1[CH]C1,Pending
rad_0261,C[CH]CCC1CC1,Pending
rad_0262,[CH2]CCCC1CC1,Pending
rad_0263,C[C](C)CC1CC1,Pending
rad_0264,CC(C)[CH]C1CC1,Pending
rad_0265,CC(C)C[C]1CC1,Pending
rad_0266,[CH2]C(C)CC1CC1,Pending
rad_0267,CC(C)CC1[CH]C1,Pending
