ID,SMILES,A(iso)
rad_0149,[CH2]C1CC1(C)CC,[-60.9674 9.2745 0.2391 0 4.5546 0.0335 0.6174]
rad_0150,CC[C]1CC1C,[-1.4386 67.1703 0 56.2891 69.0205 1.5411]
rad_0151,C[CH]C1CC1C,[62.5 -59.6827 7.1984 -0.4313 -6.9796 4.0266]
rad_0152,[CH2]CC1CC1C,[-62.9115 73.4263 -1.6326 0.3451 0.7953 -0.0291]
rad_0153,CCC1C[C]1C,[0.2187 -0.7255 38.4167 55.7068 0 50.9924]
rad_0154,CCC1[CH]C1C,[1.1616 -1.25 68.7294 -14.9071 40.6281 -1.8856]
rad_0155,[CH2]C1CC1CC,[-61.407 5.2058 0.2128 1.8129 0.0601 0.9596]
rad_0156,[CH2]C(C)C1CC1,[-61.0936 26.6193 0.3508 -2.2189 0.782 1.1807]
rad_0157,C[C](C)C1CC1,[57.2608 0 54.2221 2.5501 -1.965 -0.923]
rad_0158,CC(C)[C]1CC1,[-1.0155 24.326 1.5898 0 58.2988 59.1441]
rad_0159,CC(C)C1[CH]C1,[0.812 0.916 0.2734 47.2307 -14.6174 63.2224]
rad_0160,CCC1C[C](C)C1,[0.8031 0.1782 -3.9612 91.066 0 60.5971 91.1295]
rad_0161,[CH2]C1CC(CC)C1,[-62.9444 3.6519 -2.8049 0.0665 0.7204 0.0776 -3.0294]
rad_0162,CCC1[CH]C(C)C1,[0.5461 -0.4451 96.5251 -62.945 96.9611 -0.9452 -3.1113]
rad_0163,CC[C]1CC(C)C1,[-1.3561 69.9061 0 89.4814 -2.4769 0.4501 89.611]
rad_0165,[CH2]CC1CC(C)C1,[-64.5223 98.3561 -1.2105 0.5554 -0.0629 -0.0137 0.8018]
rad_0166,CCC1(C)[CH]C1,[0.288 7.1016 0 -0.8663 -13.6176 58.6895]
rad_0167,C[CH]C1(C)CC1,[64.1271 -59.7054 0 -1.9301 1.9086 -0.1747]
rad_0168,[CH2]CC1(C)CC1,[-63.2944 81.4117 0 0.612 0.405 -0.2654]
rad_0169,[CH2]C1(CC)CC1,[-61.7929 0 -2.7577 0.2358 0.9855 1.1327]
rad_0170,[CH]1CCCC1,[-65.2506 93.5434 -1.2641 -1.2922 93.7395]
rad_0171,[CH2]CC1(CC)CC1,[-62.9082 83.7416 0 1.0923 0.8578 -0.2243 0.4496]
rad_0172,C[CH]C1(CC)CC1,[64.1138 -59.6306 0 -2.1775 0.1649 -0.2357 2.6709]
rad_0173,CCC1(CC)[CH]C1,[0.3371 6.739 0 -1.4029 0.7548 -14.3759 61.5099]
rad_0174,C[C]1CCC1(C)C,[61.6384 0 90.825 -2.942 0 1.3437 0.1456]
rad_0175,[CH2]C1(C)CCC1C,[-61.4948 0 5.9184 0.0721 0.9694 -0.3196 0.6816]
rad_0176,[CH2]C1CCC1(C)C,[-61.4481 40.0335 -1.3507 0.6048 0 2.6882 0.6328]
rad_0177,CC1C[CH]C1(C)C,[0.2672 -2.934 96.7746 -62.0967 0 2.5276 0.6594]
rad_0178,CC1[CH]CC1(C)C,[-1.7234 108.2253 -60.2792 94.7548 0 0.1438 0.1419]
rad_0179,CCC1(C)[CH]CC1,[0.872 -2.0667 0 1.8877 -64.9 99.9586 -3.2455]
rad_0180,[CH2]C1(CC)CCC1,[-61.0834 0 -2.0482 1.1802 -1.8836 0.1412 -1.0636]
rad_0181,CCC1(C)C[CH]C1,[0.1364 0.2288 0 0.0982 98.9958 -64.8907 98.6297]
rad_0182,C[CH]C1(C)CCC1,[63.3385 -61.7262 0 2.5647 -1.3297 0.9439 0.817]
rad_0183,[CH2]CC1(C)CCC1,[-63.7497 38.9034 0 0.3955 0.2932 0.5956 0.6691]
rad_0184,C[CH]CC1CC1,[65.13 -59.4684 26.6223 -3.9398 0.9784 0.9904]
